镜号,时长,画面描述,角色1,角色描述1,角色图1,参考,景别,情绪,道具,光影氛围,音效,对白,分镜提示词,视频运动提示词
1,2,微距空镜开场，展现初春的生命力与微风苏醒的概念,,,,,微距特写,宁静、生机,,清晨通透自然光，侧逆光勾勒半透明质感，形成漂亮光斑,清晨鸟鸣，一阵清脆轻柔的风声,风，总是比季节先醒来。,[画面构图：微距特写，平视机位] + [主体/人物空间与互动关系：画面中心为一片翠绿的初春树叶] + [极具体的微表情、主体状态或关键视觉信息：叶片上挂着晶莹的晨露，微风吹过，露珠顺着叶脉滑落，叶片轻轻摇曳] + [明确的场景环境元素与前景/背景道具：背景是柔和虚化的春日树林，形成漂亮的光斑] + [光影几何与大气效果：清晨通透的自然光，侧逆光勾勒出叶片的半透明质感] + [视觉风格/质感：日系小清新，高通透度，电影级画质] + [技术参数：100mm微距镜头，f/2.8光圈],[明确的摄影机运镜轨迹与速度：摄影机极其缓慢地向前推镜头（Slow Dolly In）] + [主体极其具体的物理动作细节或状态变化：树叶随风轻柔晃动，一颗饱满的露珠缓缓滑落并滴下] + [环境物理动态：风吹动背景光斑产生微微的闪烁感] + [时长：2.0s]
2,2,人物登场，感受春风，建立青春与自然的联系,林夏,[林夏: 19岁的年轻女孩，清新干净的大学校园气质，齐肩黑发随风微动，身穿简单的白色棉质连衣裙和浅绿色针织开衫，背着帆布包，散发着纯粹、温柔且笃定的气息],,,中景,享受、轻松,,明亮的春日暖阳，发丝边缘有美丽的逆光光晕,风拂过树叶的沙沙声,无,[画面构图：中景，略带仰视的半身镜头] + [[林夏: 19岁的年轻女孩，清新干净的大学校园气质，齐肩黑发随风微动，身穿简单的白色棉质连衣裙和浅绿色针织开衫，背着帆布包，散发着纯粹、温柔且笃定的气息]] + [主体/人物空间与互动关系：女孩站在画面中央偏右，闭着双眼感受微风] + [极具体的微表情、主体状态或关键视觉信息：嘴角带着淡淡的微笑，发丝和裙摆被风轻轻吹起，神态宁静享受] + [明确的场景环境元素与前景/背景道具：虚化的校园红色塑胶跑道和两旁的绿色梧桐树] + [光影几何与大气效果：明亮的春日暖阳，发丝边缘有美丽的逆光光晕] + [视觉风格/质感：青春文艺片质感，色彩明快] + [技术参数：50mm标准镜头，f/1.8光圈],[明确的摄影机运镜轨迹与速度：摄影机以极慢的速度围绕人物顺时针微旋（Slow Arc）] + [主体极其具体的物理动作细节或状态变化：女孩闭眼微笑，深呼吸，齐肩发丝和衣角随风向后飘动] + [时长：2.0s]
3,2,展现产品原料产地，连绵的茶园绿意,,,,,大远景,开阔、心旷神怡,,柔和的清晨漫反射光，使得绿意显得极其鲜活,悠扬的纯音乐前奏渐入,吹过树梢的绿意，,[画面构图：远景，无人机俯拍大远景] + [主体/人物空间与互动关系：连绵起伏的绿色茶园占据整个画面] + [极具体的微表情、主体状态或关键视觉信息：一排排修剪整齐的茶树像绿色的波浪一样顺着山丘起伏，微风拂过，整个茶园呈现出动态的绿意] + [明确的场景环境元素与前景/背景道具：远处有淡淡的晨雾，天空中飘着几朵白云] + [光影几何与大气效果：柔和的清晨漫反射光，使得绿意显得极其鲜活、充满生机] + [视觉风格/质感：大气的自然生态风光，色彩饱和度适中偏清新] + [技术参数：16mm超广角镜头，航拍视角],[明确的摄影机运镜轨迹与速度：无人机视角向前平稳且匀速地推移飞行] + [环境物理动态：大面积的茶树叶片随风如波浪般翻滚起伏，远处的晨雾缓缓流动] + [时长：2.0s]
4,2,采茶特写，强调真茶萃取的手工感与鲜嫩,,,,,特写,专注、珍视,,阳光透过云层洒下，茶叶呈现出鲜翠欲滴的半透明质感,清脆的“咔嗒”采摘声,也吹拂过心底,[画面构图：特写，微俯视机位] + [主体/人物空间与互动关系：一只白皙细腻的年轻女孩的手在画面正中央] + [极具体的微表情、主体状态或关键视觉信息：手指正轻柔而精准地掐下一朵一芽一叶的鲜嫩绿茶（春茶），动作娴熟且充满对植物的呵护感] + [明确的场景环境元素与前景/背景道具：背景是密集的茶树叶片，极度虚化处理以突出指尖的嫩芽] + [光影几何与大气效果：阳光透过云层洒在手指和茶叶上，茶叶呈现出鲜翠欲滴的半透明质感] + [视觉风格/质感：极具触感和生命力的微距摄影，文艺感] + [技术参数：85mm镜头，f/2.0光圈],[明确的摄影机运镜轨迹与速度：摄影机略微向右平移（Pan Right）保持焦点在指尖] + [主体极其具体的物理动作细节或状态变化：手指利落地掐断茶梗，将鲜嫩的茶叶摘下，枝叶产生轻微的反弹震动] + [时长：2.0s]
5,2,呼应远方的梦，将自然与青春相连,林夏,[林夏: 19岁的年轻女孩，清新干净的大学校园气质，齐肩黑发随风微动，身穿简单的白色棉质连衣裙和浅绿色针织开衫，背着帆布包，散发着纯粹、温柔且笃定的气息],,,近景,憧憬、希望,,面部光线均匀明亮，充满青春活力,遥远而轻微的飞机轰鸣声,那个关于远方的梦。,[画面构图：近景，低角度仰拍] + [[林夏: 19岁的年轻女孩，清新干净的大学校园气质，齐肩黑发随风微动，身穿简单的白色棉质连衣裙和浅绿色针织开衫，背着帆布包，散发着纯粹、温柔且笃定的气息]] + [主体/人物空间与互动关系：女孩抬头望向天空，双手将一本厚厚的书本抱在胸前] + [极具体的微表情、主体状态或关键视觉信息：眼神中充满对未来的憧憬与渴望，清澈的眼眸里反射着天空的光芒] + [明确的场景环境元素与前景/背景道具：背景是纯净湛蓝的天空和一道飞机飞过留下的笔直白色尾迹云（航迹云）] + [光影几何与大气效果：顺光，面部光线均匀明亮，充满青春活力] + [视觉风格/质感：岩井俊二风格，透明感，青春校园] + [技术参数：35mm人文镜头，f/4.0光圈],[明确的摄影机运镜轨迹与速度：摄影机从胸前高度缓慢向上摇镜头（Tilt Up）对准面部] + [主体极其具体的物理动作细节或状态变化：女孩微微扬起下巴，视线跟随着天空中的飞机移动，嘴角浮现期待的浅笑] + [时长：2.0s]
6,2,行动表达做减法，呼应产品无糖纯粹的理念,林夏,[林夏: 19岁的年轻女孩，清新干净的大学校园气质，齐肩黑发随风微动，身穿简单的白色棉质连衣裙和浅绿色针织开衫，背着帆布包，散发着纯粹、温柔且笃定的气息],,,中特写,释然、轻盈,,树荫下的斑驳光影打在脸和书包上,收拾东西的轻微摩擦声,青春的行囊，,[画面构图：中特写，平视机位] + [[林夏: 19岁的年轻女孩，清新干净的大学校园气质，齐肩黑发随风微动，身穿简单的白色棉质连衣裙和浅绿色针织开衫，背着帆布包，散发着纯粹、温柔且笃定的气息]] + [主体/人物空间与互动关系：女孩坐在校园长椅上，正在整理她的帆布包] + [极具体的微表情、主体状态或关键视觉信息：她笑着将一些繁杂华丽的小物件拿出书包放在一边，只留下一本书和一支笔，动作轻松释然] + [明确的场景环境元素与前景/背景道具：木质长椅，旁边有几片落下的春叶，前景有些许树叶遮挡形成层次] + [光影几何与大气效果：树荫下的斑驳光影打在她的脸和书包上] + [视觉风格/质感：生活化，断舍离的轻盈感] + [技术参数：50mm镜头，f/2.8光圈],[明确的摄影机运镜轨迹与速度：摄影机固定，画面轻微的呼吸感抖动] + [主体极其具体的物理动作细节或状态变化：女孩干脆利落地拿出一个多余的化妆包丢在旁边，拍了拍变轻的帆布包，露出如释重负的明朗笑容] + [时长：2.0s]
7,2,制茶工艺特写，点出微发酵卖点,,,,,特写,匠心、传统,,侧窗打进的暖色调阳光，空中灰尘/茶毫在光束中飞舞,茶叶翻滚摩擦的沙沙白噪音,其实不需要太多复杂的添加。,[画面构图：特写，微俯视角度] + [主体/人物空间与互动关系：圆形的竹制簸箕占据整个画面] + [极具体的微表情、主体状态或关键视觉信息：无数新鲜采摘的绿茶茶叶在竹簸箕中被轻轻向上抛起翻动，茶叶在空中舒展，展示微发酵的传统萎凋工艺过程] + [明确的场景环境元素与前景/背景道具：质朴的竹编纹理，边缘有轻微的茶叶碎屑] + [光影几何与大气效果：侧窗打进来的暖色调阳光，照射在空中的茶叶上，茶叶边缘泛着金绿色的微光，有细微的灰尘/茶毫在光束中飞舞] + [视觉风格/质感：工匠精神，纪实美学，富有生命力] + [技术参数：70mm镜头，高快门速度定格瞬间],[明确的摄影机运镜轨迹与速度：慢镜头（Slow Motion），摄影机轻微向下倾斜] + [主体极其具体的物理动作细节或状态变化：大把的绿色茶叶从竹簸箕底部腾空飞起，在半空中极其缓慢地翻滚、舒展，然后轻柔地落回簸箕内，光束在茶叶间穿梭] + [时长：2.0s]
8,2,萃取过程特写，暗喻无糖无杂质的清透,,,,,极特写,纯净、极致,,强烈的逆光打透玻璃杯和茶汤，展现水晶般的清透感,清澈灵动的水流倾注声,褪去多余的甜腻，,[画面构图：极特写，平视平齐机位] + [主体/人物空间与互动关系：一个透明的玻璃杯放置在木桌上] + [极具体的微表情、主体状态或关键视觉信息：清澈的山泉水从上方倾注而下，落入装有绿茶的玻璃杯中，茶叶在水中翻滚舒展，茶汤迅速呈现出纯净透亮的淡黄绿色] + [明确的场景环境元素与前景/背景道具：极简背景，没有其他杂物，纯粹聚焦于茶汤的萃取过程] + [光影几何与大气效果：强烈的背光（逆光）打透玻璃杯和茶汤，展现无糖茶饮如水晶般的清透感，水花折射出耀眼的光芒] + [视觉风格/质感：极致的高级感，纯净无杂质] + [技术参数：100mm微距，f/2.8光圈，逆光照明],[明确的摄影机运镜轨迹与速度：慢动作（Slow Motion），机位完全固定] + [环境物理动态：水柱如丝绸般注入玻璃杯，激起细密晶莹的气泡，绿茶茶叶在水流的冲击下优雅地旋转舒张，茶汤的翠绿色渐渐晕开] + [时长：2.0s]
9,2,充满氧气感的骑车镜头，释放纯净的渴望,林夏,[林夏: 19岁的年轻女孩，清新干净的大学校园气质，齐肩黑发随风微动，身穿简单的白色棉质连衣裙和浅绿色针织开衫，背着帆布包，散发着纯粹、温柔且笃定的气息],,,全景,自由、明朗,,阳光穿过树叶形成丁达尔效应，光斑快速掠过,清脆的自行车铃声（叮铃）,留下的，才是最干净的渴望。,[画面构图：全景，侧面跟踪跟拍] + [[林夏: 19岁的年轻女孩，清新干净的大学校园气质，齐肩黑发随风微动，身穿简单的白色棉质连衣裙和浅绿色针织开衫，背着帆布包，散发着纯粹、温柔且笃定的气息]] + [主体/人物空间与互动关系：女孩骑着一辆复古的银色自行车行驶在画面中央偏左] + [极具体的微表情、主体状态或关键视觉信息：双脚轻快地蹬着踏板，裙摆和开衫随风向后飞扬，笑容灿烂且充满自由感] + [明确的场景环境元素与前景/背景道具：一条洒满阳光的校园林荫大道，两旁是高大的绿色树木，路面有树影] + [光影几何与大气效果：阳光穿过树叶的缝隙形成丁达尔效应，光斑在女孩身上快速掠过] + [视觉风格/质感：充满动感与氧气感，日系宝矿力水特广告风格] + [技术参数：35mm镜头，f/5.6光圈，运动模糊背景],[明确的摄影机运镜轨迹与速度：摄影机在侧面与自行车保持同速平行跟拍（Tracking Shot）] + [主体极其具体的物理动作细节或状态变化：女孩双腿交替蹬车，身体随着骑行动作微微起伏，开衫被风完全吹起，阳光光斑在其面部和衣服上快速流转交替] + [时长：2.0s]
10,2,电影感空镜，营造温柔笃定的情绪过渡,,,,,中景,空灵、静谧,,柔和顺光，窗纱透着温柔的光线，风铃反射日光,清脆悦耳的玻璃风铃声,像一阵春风，,[画面构图：中景，略带仰角] + [主体/人物空间与互动关系：窗台前飘动的白色窗纱与挂在檐下的玻璃风铃] + [极具体的微表情、主体状态或关键视觉信息：半透明的白色窗纱被春风高高吹起，如同起舞的波浪，透明的玻璃风铃在风中摇曳碰撞，给人一种宁静而笃定的内心感受] + [明确的场景环境元素与前景/背景道具：木质窗框，窗外是一片明媚的蓝天和隐约的绿树] + [光影几何与大气效果：柔和的顺光，窗纱透着温柔的光线，风铃反射着日光] + [视觉风格/质感：空灵，文艺电影空镜头，留白意境] + [技术参数：50mm镜头，f/4光圈],[明确的摄影机运镜轨迹与速度：摄影机极慢地向右水平摇动（Slow Pan Right）] + [环境物理动态：一阵强烈的春风吹入，轻薄的白色窗纱猛地向室内扬起翻滚，玻璃风铃随之剧烈摇摆碰撞，光影在墙面晃动] + [时长：2.0s]
