"课堂编号","镜号","任务","参考文件","参考用途","采用底图","版本","状态","缺项","本人制作范围"
"","S01","窗边白纱帘与「风」字","","","","","未制作","",""
"","S02-A","阴云与嫩叶分屏、季节字样","","","","","未制作","",""
"","S02-B","阴云与嫩叶分屏、季节字样","","","","","未制作","",""
"","S03","仰望树冠与透光","","","","","未制作","",""
"","S04","走廊中的白衬衫人物","","","","","未制作","",""
"","S05","蓝天下的人物近景","","","","","未制作","",""
"","S06","窗边桌前的人物与书本","","","","","未制作","",""
"","S07","人物在桌前拿起饮料瓶","","","","","未制作","",""
"","S08","带水珠的产品特写","","","","","未制作","",""
"","S09","山地茶园远景","","","","","未制作","",""
"","S10","双手与鲜嫩茶叶近景","","","","","未制作","",""
"","S11","手与竹筛中的茶叶","","","","","未制作","",""
"","S12","茶园里的人物及身后采茶者","","","","","未制作","",""
"","S13","窗边手持茶杯的人物","","","","","未制作","",""
"","S14","户外侧面饮用瓶装茶","","","","","未制作","",""
"","S15","草地上人物持瓶跑动、回看与落版","","","","","未制作","",""
