教学镜号,成片约秒数,画面,图片候选,视频候选,使用说明
S01,0.00—1.47,窗边白纱帘,分镜 #12.png,视频节点 22.mp4,文字「风」在剪辑时制作。
S02,1.47—3.90,阴云与草叶分屏,分镜 #1.png,视频节点 17(1).mp4；视频节点 16.mp4；视频节点 8.mp4,阴云没有独立PNG；视频观察帧不冒充原生图输入。S02-A／B分别管理。
S03,3.90—5.73,树冠与透光,分镜 #3.png,视频节点 19.mp4,先看构图，再观察叶片与光的变化。
S04,5.73—6.97,走廊人物,分镜 #2.png,视频节点 17.mp4,白衬衫、走廊与前景叶片。
S05,6.97—10.17,蓝天下人物近景,分镜 #11.png,视频节点 23.mp4,身份与衣服保持；字幕后加。
S06,10.17—11.77,窗边坐姿与书本,分镜 #6.png,视频节点 10.mp4,人物坐姿、桌沿与窗光。
S07,11.77—15.17,桌前拿瓶,图片节点 30(1).png；图片节点 15.png；图片节点 30.png,视频节点 32.mp4,同题的不同状态图；实际生成连线未知。
S08,15.17—16.67,水珠与产品特写,图片节点 12.png；宫格生图 2-1.png；图片41.png,视频节点 31.mp4；视频节点 27.mp4,图片41用于错字找茬，不能直接当采用稿。
S09,16.67—18.60,山地茶园,分镜 #4.png,视频节点 21.mp4,看茶垄、远山和空间层次。
S10,18.60—20.20,手与嫩叶,分镜 #5.png,视频节点 33.mp4,看接触关系和采摘含义。
S11,20.20—22.50,手与干茶竹筛,图片节点 36.png；分镜 #7.png,视频节点 37.mp4,有手与无手的图，不是同一个动作起点。
S12,22.50—25.77,茶园里的人物,图片节点 4.png；图片节点 10.png,视频节点 5(1).mp4；视频节点 20.mp4,人物镜与采茶者镜按用途选择。
S13,25.77—28.27,窗边持杯,图片节点 3.png,视频节点 6(1).mp4,杯、手、窗与外景关系。
S14,28.27—30.30,侧面饮用,分镜 #15.png；图片节点 26.png；图片节点 18.png,视频节点 27(1).mp4；视频节点 19(1).mp4,饮用与开盖＋饮用是不同动作量。
S15,30.30—33.67,跑动回看与结尾,图片节点 29.png；分镜 #16.png,视频节点 39.mp4,所给素材已含产品；直接采用时不要重复叠瓶。
