"镜号","原片约秒数","可见画面","图片准备","视频与后期任务"
"S01","0.00—1.47","窗边白纱帘与「风」字","窗框、纱帘、日光","风吹帘；文字后期加"
"S02","1.47—3.90","阴云与嫩叶分屏、季节字样","阴云、嫩叶两张底图","分屏由剪辑合成，底图分别管理"
"S03","3.90—5.73","仰望树冠与透光","树冠、天空、透光","光与叶片变化，避免枝叶大幅融化"
"S04","5.73—6.97","走廊中的白衬衫人物","人物、白衬衫、走廊","人物转向与前景叶片"
"S05","6.97—10.17","蓝天下的人物近景","同一人物、蓝天","发丝与神态；文字后加"
"S06","10.17—11.77","窗边桌前的人物与书本","人物、衣服、桌面、窗、书","坐姿和视线，空间关系稳定"
"S07","11.77—15.17","人物在桌前拿起饮料瓶","人物、产品、桌面和手部起点","拿取动作；手与瓶的接触"
"S08","15.17—16.67","带水珠的产品特写","瓶形、标签、茶色、水珠","产品识别性优先"
"S09","16.67—18.60","山地茶园远景","山、茶垄、雾、光色","大空间和缓慢变化"
"S10","18.60—20.20","双手与鲜嫩茶叶近景","手、嫩叶、背景","接触和采摘动作，细节不乱变"
"S11","20.20—22.50","手与竹筛中的茶叶","手、干茶、竹筛","落叶与手部动作"
"S12","22.50—25.77","茶园里的人物及身后采茶者","同一人物、茶园、背景人物","人物状态与自然环境一致"
"S13","25.77—28.27","窗边手持茶杯的人物","人物、杯、窗框、外景","持杯姿态与表情"
"S14","28.27—30.30","户外侧面饮用瓶装茶","人物侧脸、瓶口、手、衣服","饮用接触，不追求一次复杂动作"
"S15","30.30—33.67","草地上人物持瓶跑动、回看与落版","人物全身、草地、远处人、产品叠层","动作及结尾信息；叠层后期完成"
