[00:00 - 00:06] 所有的关于AI视频的课 都是把一个没有门槛的东西 包装成了有门槛的样子 然后卖给你 很简单啊
[00:06 - 00:11] 你想用AI做出好看的视频 你只需要三件事情 一申屠你的视频里面出现了什么东西 什么角色 什么场景
[00:11 - 00:18] 你就出什么样的图给AI就可以了 二点赞 也就是把你刚才删的图给AI 然后告诉AI你要什么样画面啊 也就是提示词啊
[00:18 - 00:25] 第三平台随便选一个拥有无线画布的平台 把你的提示词和图一起丢给AI 然后AI就给你视频 就这么简单 完事了
[00:25 - 00:34] 就这三件事 没有任何一个是有技术壁垒的 半个小时内 你可以把一个完全不会的人变成完全会的人 到底为什么网上会出现大量的课程在教你
[00:34 - 00:40] 你做这些事情 一节课教你怎么生成资产图 下一节课教你怎么调试资产图 然后再来一节课 教你怎么写提示词
[00:40 - 00:45] 但实际上真的就半小时 半小时 10分钟吧 10分钟就会不会的人和会的人只差了10分钟 真的只差了10分钟
[00:45 - 00:53] 所以今天我做这期视频的目的 就是针对那些不会的人 你们中间差的那10分钟我来给你补了 然后你就不用去买课了 OK因为说到底啊
[00:53 - 01:01] 就是如今2016年 把你的脑海里面的东西变成画面 这件事情没有壁垒 完全不难 比如说我现在就有一个非常简单的提示词
[01:01 - 01:12] 加上一张我下一集的第一个镜头就已经做好了 总之接下来就是视频教程的内容了 我希望我通过这期视频简单的教程啊 让所有对AI视频创作的小伙伴们 站在同一起跑线啊
[01:12 - 01:23] 这是一期扫盲视频 起码是跟我同样的起跑线 也就是说你看完我这期视频啊 你起码能做出跟我一样的画面 删视频这件事情本身嗯确实没有壁垒
[01:23 - 01:29] 点击就可以了 非常简单 我们就拿最近那个牛来牛来来说吧 好吧 牛奶里面非常经典的一个片段
[01:29 - 01:37] 就是那个牛来被蛇吓到 然后叫妈妈妈妈叫完了之后 她妈妈回头来了句牛奶 所以在这个场景里面 我们首先要有三张给参考图是吧
[01:37 - 01:44] 牛来牛妈蛇 我们随便打开一个画布平台 今天我们开的是tap now tap now是我最近用的比较多的画布啊 然后新建一个项目非常简单
[01:44 - 01:50] 我教你们怎么用 真的没有任何壁垒啊 双击画布的任意一个位置 然后打开图片 OK这个就是所谓的节点了
[01:50 - 01:58] 然后我们点击tap image to粘贴上提示词 这个提示词哪里来呢 不用你自己写啊 我会在评论区分享一个 我这是一个专门用来做人设
[01:58 - 02:06] 四宫格三视图的这么一个提示词啊 非常的好用 而且如果你用image to的话 你就会知道image to经常会出那种比较碎的 比较恶心的
[02:06 - 02:12] 完全没法使用图片 对不对 这个CEO非常稳定 免费分享给你 总之AI装载了这个skill之后
