文件,类型,时长秒／尺寸,课堂用途与说明,包内位置
image.png,image,800×800,产品外观参考：核对瓶形、名称、标签和瓶盖。,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/image.png
分镜 #1 - 副本.png,image,2400×1792,与「分镜 #1.png」内容相同的副本。,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #1 - 副本.png
分镜 #1.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #1.png
分镜 #10.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #10.png
分镜 #11.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #11.png
分镜 #12.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #12.png
分镜 #13.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #13.png
分镜 #15.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #15.png
分镜 #16.png,image,2400×1792,含产品与文字的合成画面，不是无字人物底图。,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #16.png
分镜 #2.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #2.png
分镜 #3.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #3.png
分镜 #4.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #4.png
分镜 #5.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #5.png
分镜 #6.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #6.png
分镜 #7.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #7.png
分镜 #9.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/分镜 #9.png
图片41.png,image,2400×1792,包装反例：大字出现「统拂」，不能只凭水珠与质感采用。,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片41.png
图片42.png,image,2400×1792,桌前人物与书本／平板；画面没有饮料瓶，可用来说明输入缺道具。,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片42.png
图片节点 10.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 10.png
图片节点 11.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 11.png
图片节点 12.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 12.png
图片节点 15.png,image,2400×1792,人物手持产品的相关状态，不能仅凭文件名认定为生成尾帧。,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 15.png
图片节点 18.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 18.png
图片节点 2(1).png,image,2752×1536,人物多视图参考：正面、侧面、背面与整体服装。,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 2(1).png
图片节点 2.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 2.png
图片节点 26.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 26.png
图片节点 29.png,image,2400×1792,跑动回看画面，右下产品已经合在图内。,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 29.png
图片节点 3.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 3.png
图片节点 30(1).png,image,2400×1792,瓶在桌面上的动作准备状态。,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 30(1).png
图片节点 30.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 30.png
图片节点 36.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 36.png
图片节点 4.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 4.png
图片节点 5.png,image,2400×1792,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/图片节点 5.png
多机位九宫格(1).png,image,2400×1792,产品多视角，用于比较景别、机位和识别性。,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/多机位九宫格(1).png
多机位九宫格.png,image,2400×1792,茶汤玻璃杯多视角，用于比较取景和信息。,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/多机位九宫格.png
宫格生图 1-1.png,image,800×597,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/宫格生图 1-1.png
宫格生图 1-2.png,image,800×597,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/宫格生图 1-2.png
宫格生图 1-3.png,image,800×597,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/宫格生图 1-3.png
宫格生图 2-1.png,image,800×597,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/宫格生图 2-1.png
宫格生图 2-2.png,image,800×597,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/宫格生图 2-2.png
宫格生图 2-3.png,image,800×597,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/宫格生图 2-3.png
宫格生图 3-1.png,image,800×597,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/宫格生图 3-1.png
宫格生图 3-2.png,image,800×597,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/宫格生图 3-2.png
宫格生图 3-3.png,image,800×597,,案例素材/春拂绿茶完整素材包/绿茶TVB分镜图-压缩后/宫格生图 3-3.png
「春天在哪里？」小罐茶2026春茶TVC.mp4,video,80.87,素材包中的其他茶广告参考；不列作春拂绿茶生成镜头。,案例素材/春拂绿茶完整素材包/「春天在哪里？」小罐茶2026春茶TVC.mp4
剪辑.mp4,video,5.01,实际是约5秒的人物跑动短片；不是剪映工程或操作录屏。,案例素材/春拂绿茶完整素材包/剪辑.mp4
好想来｜龙井季TVC · 一口龙井一口春.mp4,video,60.01,素材包中的其他茶广告参考；不列作春拂绿茶生成镜头。,案例素材/春拂绿茶完整素材包/好想来｜龙井季TVC · 一口龙井一口春.mp4
成片.mp4,video,33.67,春拂绿茶约33.67秒成片；D2—D4贯穿项目。,案例素材/春拂绿茶完整素材包/成片.mp4
视频节点 10.mp4,video,4.06,窗边坐姿人物。,案例素材/春拂绿茶完整素材包/视频节点 10.mp4
视频节点 16.mp4,video,5.06,草叶、露珠与风的画面。,案例素材/春拂绿茶完整素材包/视频节点 16.mp4
视频节点 17(1).mp4,video,5.06,阴云素材，可与草叶素材组成S02分屏。,案例素材/春拂绿茶完整素材包/视频节点 17(1).mp4
视频节点 17.mp4,video,5.05,走廊人物与前景叶片，内容不同于节点17(1)。,案例素材/春拂绿茶完整素材包/视频节点 17.mp4
视频节点 19(1).mp4,video,5.06,开盖、饮用、放低的连续动作；用于任务复杂度比较。,案例素材/春拂绿茶完整素材包/视频节点 19(1).mp4
视频节点 19.mp4,video,4.06,树冠、叶片与透光。,案例素材/春拂绿茶完整素材包/视频节点 19.mp4
视频节点 20.mp4,video,5.06,茶园劳动者。,案例素材/春拂绿茶完整素材包/视频节点 20.mp4
视频节点 21.mp4,video,5.05,山地茶园远景。,案例素材/春拂绿茶完整素材包/视频节点 21.mp4
视频节点 22.mp4,video,5.05,窗边白纱帘与风。,案例素材/春拂绿茶完整素材包/视频节点 22.mp4
视频节点 23.mp4,video,4.06,蓝天下的人物近景。,案例素材/春拂绿茶完整素材包/视频节点 23.mp4
视频节点 24.mp4,video,4.06,林荫路人物正面全景。,案例素材/春拂绿茶完整素材包/视频节点 24.mp4
视频节点 25.mp4,video,4.06,产品多角度变化。,案例素材/春拂绿茶完整素材包/视频节点 25.mp4
视频节点 27(1).mp4,video,4.06,侧面饮用，集中观察嘴、瓶口与手。,案例素材/春拂绿茶完整素材包/视频节点 27(1).mp4
视频节点 27.mp4,video,5.06,产品标签到更完整瓶体的取景变化。,案例素材/春拂绿茶完整素材包/视频节点 27.mp4
视频节点 28.mp4,video,5.06,林荫路人物背影另一段素材。,案例素材/春拂绿茶完整素材包/视频节点 28.mp4
视频节点 3.mp4,video,5.05,产品镜头，留意构图变化与标签稳定。,案例素材/春拂绿茶完整素材包/视频节点 3.mp4
视频节点 31.mp4,video,4.06,带水珠的产品特写，观察标签是否在运动中保持。,案例素材/春拂绿茶完整素材包/视频节点 31.mp4
视频节点 32.mp4,video,4.06,桌前拿瓶：观察手接触、瓶形与抬起后的停留。,案例素材/春拂绿茶完整素材包/视频节点 32.mp4
视频节点 33.mp4,video,5.05,嫩叶与手部接触的动作素材。,案例素材/春拂绿茶完整素材包/视频节点 33.mp4
视频节点 37.mp4,video,4.06,竹筛中双手与干茶的过程素材。,案例素材/春拂绿茶完整素材包/视频节点 37.mp4
视频节点 38.mp4,video,4.06,倒茶过程，可作声音与动作关系的练习备选。,案例素材/春拂绿茶完整素材包/视频节点 38.mp4
视频节点 39.mp4,video,5.06,人物跑动回看，右下产品已合入视频，不能当独立产品图层。,案例素材/春拂绿茶完整素材包/视频节点 39.mp4
视频节点 4.mp4,video,4.06,产品与瓶盖的取景变化。,案例素材/春拂绿茶完整素材包/视频节点 4.mp4
视频节点 5(1).mp4,video,5.06,茶园中的白衬衫人物。,案例素材/春拂绿茶完整素材包/视频节点 5(1).mp4
视频节点 5.mp4,video,5.06,林荫路上的人物背影。,案例素材/春拂绿茶完整素材包/视频节点 5.mp4
视频节点 6 - 副本.mp4,video,5.04,与「视频节点 6.mp4」内容相同的副本。,案例素材/春拂绿茶完整素材包/视频节点 6 - 副本.mp4
视频节点 6(1).mp4,video,5.06,窗边持杯人物，不能与节点6当作同一镜。,案例素材/春拂绿茶完整素材包/视频节点 6(1).mp4
视频节点 6.mp4,video,5.04,竖幅人物跑动参考，与项目横幅素材的比例不同。,案例素材/春拂绿茶完整素材包/视频节点 6.mp4
视频节点 8.mp4,video,5.06,草叶与露珠另一段素材；不是已确认的前后版本关系。,案例素材/春拂绿茶完整素材包/视频节点 8.mp4
音频节点 6.mp3,audio,30.43,人声旁白测试；用途由牧老板确认，实际采用区间由课堂试听后选择。,案例素材/春拂绿茶完整素材包/音频节点 6.mp3
音频节点 8.mp3,audio,30.64,人声旁白测试；用途由牧老板确认，实际采用区间由课堂试听后选择。,案例素材/春拂绿茶完整素材包/音频节点 8.mp3
音频节点 9.mp3,audio,195.32,AI生成的背景音乐；用途由牧老板确认，实际采用区间由课堂试听后选择。,案例素材/春拂绿茶完整素材包/音频节点 9.mp3
龙井茶.mp4,video,62.04,素材包中的其他茶广告参考；不列作春拂绿茶生成镜头。,案例素材/春拂绿茶完整素材包/龙井茶.mp4
脚本 13.csv,text,,原文保留,案例素材/春拂绿茶完整素材包/脚本 13.csv
文本节点 12.txt,text,,原文保留,案例素材/春拂绿茶完整素材包/文本节点 12.txt
