"文件","类别","批次","状态","说明","原图宽","原图高","原始来源"
"01-静态分镜/7515a43dd2-分镜01-libTV提示词对比-v1.png","01-静态分镜","分镜01","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜01-libTV提示词对比-v1.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-4c3d7368-3fb4-4d3e-80fd-25a95d43278b.png"
"01-静态分镜/c3bc2f6368-分镜01-libTV提示词对比-v2.png","01-静态分镜","分镜01","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜01-libTV提示词对比-v2.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-9bd867be-966a-4712-a127-87ab8758f142.png"
"01-静态分镜/46f7bcf9fe-分镜01-libTV提示词对比-v3.png","01-静态分镜","分镜01","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜01-libTV提示词对比-v3.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-32805e41-76a6-4a44-83ee-4ef42cbc1bc9.png"
"01-静态分镜/4be3bc3224-分镜01-libTV提示词对比-v4.png","01-静态分镜","分镜01","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜01-libTV提示词对比-v4.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-5fa4da7e-6420-493d-98f5-33762e772859.png"
"01-静态分镜/e3eefea17a-分镜01-libTV提示词对比-v5.png","01-静态分镜","分镜01","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜01-libTV提示词对比-v5.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-b44c2aa3-cb3a-4e9e-a419-ff75b247e4a0.png"
"01-静态分镜/71c5955c69-分镜01-libTV提示词对比-v6.png","01-静态分镜","分镜01","对应效果获明确认可","见实操复盘的对应回合；仅表示该次设计或位置选择。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜01-libTV提示词对比-v6.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-4686a636-d45c-415d-94ac-839c76feea72.png"
"01-静态分镜/3b83807113-分镜02-人物资产组成部分-v1.png","01-静态分镜","分镜02","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜02-人物资产组成部分-v1.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-360775f6-1352-42ab-b649-d2161839d64f.png"
"01-静态分镜/465492a342-分镜02-人物资产组成部分-v2-纯文字竖标签.png","01-静态分镜","分镜02","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜02-人物资产组成部分-v2-纯文字竖标签.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-c50b78a4-41d1-4a29-87e2-937ec13e7f23.png"
"01-静态分镜/f472841ba3-分镜02-人物资产组成部分-v3-黑色精简竖标签.png","01-静态分镜","分镜02","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜02-人物资产组成部分-v3-黑色精简竖标签.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-8568a777-922c-4bca-901e-2dc881281b60.png"
"01-静态分镜/2646e19bb8-分镜02-人物资产组成部分-v4-加宽做旧边缘.png","01-静态分镜","分镜02","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜02-人物资产组成部分-v4-加宽做旧边缘.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-2e2495ae-e841-4401-8a8b-36d13b8b0e79.png"
"01-静态分镜/41b1de78e9-分镜02-人物资产组成部分-v5-缩小卡内文字与图标.png","01-静态分镜","分镜02","对应效果获明确认可","见实操复盘的对应回合；仅表示该次设计或位置选择。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜02-人物资产组成部分-v5-缩小卡内文字与图标.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-ecfdaea6-e228-4c07-a7d9-f7191b3bc5b0.png"
"05-制作字样/4a65922164-分镜02-人物资产组成部分-字体字样参考.png","05-制作字样","分镜02","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1600","750","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜02-人物资产组成部分-字体字样参考.png"
"05-制作字样/1369b2f63f-分镜02-纯文字目录-中英字体字样参考.png","05-制作字样","分镜02","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1600","1100","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜02-纯文字目录-中英字体字样参考.png"
"01-静态分镜/11090afd82-分镜03-人物资产制作章节标题-v1.png","01-静态分镜","分镜03","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜03-人物资产制作章节标题-v1.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-19fe103d-d53f-417a-b6c2-d9766cc0033d.png"
"01-静态分镜/85164fcc26-分镜03-人物资产制作章节标题-v2-黑圆反白.png","01-静态分镜","分镜03","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜03-人物资产制作章节标题-v2-黑圆反白.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-a793e26e-f1e1-486b-9368-8186637a8829.png"
"01-静态分镜/9c2c326b6d-分镜03-人物资产制作章节标题-v3-黑石古纹.png","01-静态分镜","分镜03","对应效果获明确认可","见实操复盘的对应回合；仅表示该次设计或位置选择。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜03-人物资产制作章节标题-v3-黑石古纹.png
/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜03-人物资产制作章节标题-确认版.png
/Users/zimu/Documents/ChatGPT/分镜Skill测试/output/分镜工作台/S02/v07-938676/.制作参考/S02-v07-黑石纹理参考.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-a751515b-f9ef-4c92-b891-f0068b8eb129.png"
"01-静态分镜/7435669512-分镜03-人物资产制作章节标题-v4-精细古纹.png","01-静态分镜","分镜03","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜03-人物资产制作章节标题-v4-精细古纹.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-976ff4f7-a3ce-4530-a45e-675f5838264a.png"
"01-静态分镜/57f42f24bd-分镜03-人物资产制作章节标题-v5-断续云纹.png","01-静态分镜","分镜03","历史生成／未逐项确认","按原文件保留；用于对照与选例，不等于已全部通过。","1448","1086","/Users/zimu/Documents/ChatGPT/新视频风格-分镜skill炼制/output/分镜03-人物资产制作章节标题-v5-断续云纹.png
/Users/zimu/.codex/generated_images/01a090e4-a83e-7fd0-9c27-8dacbd4deb71/exec-2f7cec20-0b12-424b-b1f6-db489a320ac0.png"
