"周次","日期","课程／作业","对应能力模型","训练方式","当日对应重点","可留存证据"
"第一周","D1","三类AI短片入门：用三个真实案例跑通制作","04_生图、05_视频生成、07_剪辑合成、08_成片交付","入门实作","生图、生成与三类任务的简单剪辑导出","汽水TVC、见家长反转短剧、价格变化素材；本人采用图、工程与修改记录。"
"第一周","D2","TVC素材搭建与管理：让每张图服务同一条片","03_美术设定、04_生图、00_项目管理","专项实作","资产与成图版本、提示及失败记录","人物与场景产品参考、逐镜采用图、素材表和修改对照。"
"第一周","D3","把素材变成视频镜头：逐镜生成与多镜生成","05_视频生成、00_项目管理","专项实作","生成输入、版本与任务记录","视频镜头包、方法比较、有效区间和缺项交接。"
"第一周","D4","把TVC剪成完整作品：每一次切换都有依据","07_剪辑合成、06_音频、08_成片交付","综合实作","可编辑剪辑工程与采用成片","完整TVC、工程、声画素材及两处有时间点的剪辑说明。"
"第一周","D5","看懂脚本，用AI完成一次有依据的改编","01_剧本、06_音频","专项实作","剧本版本、改编对照与试读","采用短稿、原改对照、实际试读、来源和素材需求。"
"第一周","周六","精修课堂改编脚本","01_剧本、06_音频","巩固实作","改编对照、试读与时长修订","采用脚本、原改对照、一次真实试读与简短修改说明。"
"第一周","周日","整理参考与素材需求","00_项目管理、03_美术设定","准备与归档","参考来源、素材需求与输入交接","脚本输入包、参考来源与素材需求清单。"
"第二周","D6","叙事拆解与文字分镜","02_分镜、01_剧本、06_音频","专项实作","文字分镜、关键草图与估时","镜号文字表、关键段落草图、声音与时间批注。"
"第二周","D7","美术设定与资产生成","03_美术设定、04_生图、00_项目管理","专项实作","美术设定、三类资产与采用交接","风格卡、人物场景道具采用包、组合试图与修改记录。"
"第二周","D8","画面分镜与有声预演","02_分镜、04_生图、06_音频","综合实作","画面分镜、关键图与有声预演","整条图文分镜、正常试读预演、逐镜实际输入和风险清单。"
"第二周","D9","表演声音与剧情镜头生成","05_视频生成、06_音频、07_剪辑合成","综合实作","生成记录、声音与有声粗排","高风险小样、各版镜头、可用区间、实际消耗和完整粗排。"
"第二周","D10","剪辑叙事与情绪精修","07_剪辑合成、06_音频、08_成片交付、00_项目管理","综合实作","剪辑源工程、修改与接收证据","短剧成片、工程、采用素材、两处修改和本人职责。"
"第二周","周六","修好一处关键剪辑问题","07_剪辑合成、06_音频、08_成片交付","巩固实作","剪辑与声画修订、成片前后对照","短剧修订版、一处剪辑前后对照、采用理由与实际投入。"
"第二周","周日","归档作品，准备定位","00_项目管理、07_剪辑合成、08_成片交付","证据整理","采用作品、工程、版本与本人职责","两周作品盘点表、可打开的成果包、岗位方向与待补证据。"
"第三周","D11","作品集定位与整体构思","00_项目管理、07_剪辑合成、08_成片交付","证据应用","将既有工程、作品和贡献组织进作品集","主打项目选择、作品集v01、真实证据入口与缺项清单。"
"第三周","D12","需求拆解与项目规划","00_项目管理、08_成片交付","项目实作","任务排期、角色资源与模拟需求确认","需求卡、计划、小样或关键修改、课堂模拟确认记录。"
"第三周","D13","团队协作与成本控制","00_项目管理、08_成片交付；按任务选练：04_生图、05_视频生成、07_剪辑合成","协作实作","实际交接、工时成本与反馈修改","接收记录、同范围方案比较、实际投入和主项目页更新。"
"第三周","D14","Codex静态分镜设计","02_分镜、04_生图、00_项目管理","补充实作","知识分镜、视觉设计与采用记录","本人需求卡、静态分镜前后版、具体修改与素材分组清单。"
"第三周","D15","Remotion分镜动效制作","07_剪辑合成、08_成片交付、00_项目管理；按任务选练：06_音频","补充实作","图文动效合成、工程与短片交付","3—5秒动效、采用工程与素材、修订对照和探索页。Remotion合成不直接等同于AI视频生成或2.5D制作。"
"第三周","周六","补主打作品的优先缺口","00_项目管理、08_成片交付","按需补制作","按实际缺项补03—07中的对应制作证据","一个主打项目补强小样／素材、前后证据及实际记录。"
"第三周","周日","整理作品集预览与补强顺序","00_项目管理、08_成片交付","证据整理","作品集入口、资源与补强任务安排","可打开的作品集预览、证据入口、三天补强清单。"
"第四周","D16","主打项目补制作","00_项目管理、08_成片交付；按任务选练：03_美术设定、04_生图、05_视频生成、06_音频、07_剪辑合成","按需实作","按主打缺项补制作并保存改进证据","补强小样、主打改进版、工程与更新项目页。"
"第四周","D17","项目深化与证据完善","00_项目管理、08_成片交付；按任务选练：03_美术设定、04_生图、05_视频生成、06_音频、07_剪辑合成","实作与证据","补足关键素材，说明职责与采用判断","主打项目页面、必要补制作、协作成本摘要及对应文件。"
"第四周","D18","作品集整合与评审修改","00_项目管理、07_剪辑合成、08_成片交付","证据应用","整合作品与工程入口，按评审意见修订","作品集展示版、同伴阅读反馈、修改与剩余问题。"
"第四周","D19","简历撰写与岗位匹配","00_项目管理、08_成片交付","求职应用","将既有贡献和成片证据用于简历","岗位匹配简历、作品入口、介绍稿和面试证据索引。"
"第四周","D20","面试表达与任务实战","00_项目管理、08_成片交付；按任务选练：04_生图、05_视频生成、07_剪辑合成","实战与求职","限时修改、版本交接与作品讲解","实际改稿、接收记录、问答修订和最终求职材料。"
"第四周","周六","按反馈收尾求职材料","00_项目管理、08_成片交付","求职应用","采用材料版本、项目证据与回答修订","修订材料包、一次重答录音和待辅导清单。"
"第四周","周日","整理目标岗位与后续行动","00_项目管理、08_成片交付","求职应用","目标岗位与对应作品，记录真实求职状态","岗位行动表、对应材料版本与后续辅导问题。"
