"原模型编号","能力类别","细项","原图重点证据","当前安排","主要日期","证据与范围"
"00","项目管理","排期表与工时记录","否","明确实作","D12、D13、D16、D20","D12拆任务、角色与时间，D13记录实际投入；后续补制作和限时任务继续使用。"
"00","项目管理","环节交接单","否","明确实作","D2、D3、D7、D8、D10、D12、D13、D20","采用素材入口、负责人、接收者、缺项和真实接收记录。"
"00","项目管理","命名与版本规范","否","明确实作","D2、D7、D10、D13、D14、D15、D18、D20","文件名、采用版本、修改前后和工程素材保持对应；作品集沿用真实记录。"
"01","剧本","分集大纲（标钩子位）","否","未设专项","","当前D5为单场景、双角色、单一反转短稿；已练故事信息与反转，但未要求分集大纲和逐集钩子标注。"
"01","剧本","剧本v1到终版","否","明确实作","D5、D6","D5原稿与改稿、试读修订；D6采用稿接入文字分镜。覆盖本班短稿，不等于完整连续剧编剧训练。"
"01","剧本","改编对照表","否","明确实作","D5","保留原稿、改稿、两处变化、采用理由与素材来源；第一周周六继续精修。"
"02","分镜","文字分镜表","否","明确实作","D6、D8","镜号、观看信息、动作、声音、预计时长与前后接点，修订后图文同步。"
"02","分镜","草图分镜","否","明确实作","D6、D8","D6关键段落草图，D8整条画面分镜、机位与动作关键图及有声预演。"
"02","分镜","送审分镜PDF","否","部分覆盖","D8","已安排采用图文分镜、同伴反馈与可编辑输入包；现行D8未把送审PDF列为必交格式。"
"03","美术设定","三视图·表情服装差分","否","按需练习","D2、D7","教清面部与正侧背用途；按镜头补角度、表情或服装状态，未要求每人完成全部差分。"
"03","美术设定","场景与道具","否","明确实作","D2、D7","TVC素材与短剧采用资产、空场景与空间关系、关键道具外形和使用状态、组合修正。"
"03","美术设定","色彩脚本","否","部分覆盖","D7","当前实作是单场景风格、主辅色与光源说明；完整按剧情阶段排列的色彩脚本留作拓展。"
"03","美术设定","LoRA训练集与参数","是","未设专项","","当前课表将LoRA列为拓展阅读，没有训练实作和参数交付；旧表的训练课不计入现行覆盖。"
"04","生图","Prompt库（含seed）","是","部分覆盖","D2、D7","已保存实际提示词、参考职责、输入和采用结果；未要求统一Prompt库与seed字段，工具不提供seed时也不能补造。"
"04","生图","工作流json","否","未设专项","","当前没有明确的ComfyUI原生工作流JSON交付；Remotion源工程不等同于生图工作流JSON。"
"04","生图","分层输出PSD","是","未设专项","","现行教案有合成与可编辑素材，但未要求分层PSD作业，不能据此算已覆盖。"
"04","生图","成图v1到终版","否","明确实作","D1、D2、D7、D8、D14","本人生成、修改、采用图和必要衍生，沿同一镜号或资产名保存。"
"04","生图","废片存档与原因","是","明确实作","D2、D7、D14","保留失败或未采用图、具体问题和修改对照；不把只保留漂亮成图当作完整制作记录。"
"05","视频生成","生成任务台账","是","明确实作","D3、D9","镜号、输入、版本、实际消耗、失败原因和有效区间形成可追溯记录。"
"05","视频生成","首尾帧素材","否","部分覆盖","D3、D8、D9","已练动作起止和实际起始输入；尾帧按工具与镜头需要使用，未统一要求每镜首尾帧成套交付。"
"05","视频生成","各版本生成片","否","明确实作","D1、D3、D9","原始片段、修改版、采用片段与可用区间对应。"
"05","视频生成","多工具横向测试","是","部分覆盖","D3、D9、D13","已比较逐镜与多镜方式、同范围两种制作方案；尚未统一要求同一任务在两款工具上横测并交完整记录。"
"05","视频生成","2.5D工程文件","否","未设专项","","当前有Remotion动效工程，但没有明确的2.5D分层空间、视差制作与工程任务；二者不直接等同。"
"06","音频","配音台本与时长预算","否","明确实作","D5、D6、D8、D9","采用台词／口播、正常试读、镜头估时与有声预演；D9继续练表演声音。"
"06","音频","人声分轨原始与修音","否","部分覆盖","D9、D10","已有原始试读、可定位声音和声画修正；未统一要求原始人声、修音后人声按角色分轨成套交付。"
"06","音频","音效与BGM清单","否","部分覆盖","D4、D10","已选用并归集音乐、音效与声音素材；现行教案未统一规定独立清单的完整字段。"
"06","音频","混音工程文件","否","部分覆盖","D4、D10","可编辑工程含对白、音乐与音效调整；未设置独立混音工程与分轨交付专项。"
"06","音频","版权授权凭证","是","部分覆盖","D4、D9、D10","要求使用可用或已获授权素材并说明来源；尚未统一要求授权凭证随包逐项提交，来源链接本身不能自动代替凭证。"
"07","剪辑合成","剪辑工程源文件","是","明确实作","D4、D10、D15","TVC与短剧剪辑工程，以及Remotion可编辑合成源工程；模板部分和本人改动分别说明。"
"07","剪辑合成","字幕srt与ass","否","部分覆盖","D4、D10","已经安排字幕与可读性调整，未统一要求SRT、ASS两种独立字幕文件。"
